Company Name,Categories,Location,Contact Name,Address,Tel1,Tel2,Link
Serumah Design,Interior Designer,WP Kuala Lumpur,Serumah Design,"Shah Alam
                                                                                                                                                                                                                    40000
                                                                                                                                                                Others
                                                                                                                                                                WP Kuala Lumpur, Malaysia",+601111203239,,https://atap.co/malaysia/en/professionals/serumah-design
LOOVON DESIGN SDN BHD,"Architect,Interior Designer",Penang,Precinct 1 @ Sunway Wellesley,"Jalan Muthu Palaniappan
                                                                                                                                                                Precinct 1 @ Sunway Wellesley
                                                                                                                                                                14000
                                                                                                                                                                Bukit Mertajam
                                                                                                                                                                Penang, Malaysia",+60164233802,,https://atap.co/malaysia/en/professionals/own-interior-design
Scalable MY,"Architect,Interior Designer",,"Suite 88, Co-labs Coworking The Starling","Lot 4-401 & 4-402, Level 4, The Starling Mall
                                                                                        No. 6, Jalan SS21/37, Damansara Uptown
                                                                                        47400",+60358709188,,https://atap.co/malaysia/en/professionals/scalable-by-paramount-property
The Roof Studio,Interior Designer,,The Roof Studio,"11-2， Jalan USJ 10/1G,
                                                                                                                    47620",+60166614998,,https://atap.co/malaysia/en/professionals/the-roof-studio
Stuarts Design Sdn Bhd,"Architect,Interior Designer",,Head Office,"No. 6-1, Ground Floor, IOI Rio City, Lebuh Puteri, Bandar Puteri, 47100 Puchong, Selangor, Malaysia
                                                                                                                    47100",+60386038771,+60123025222,https://atap.co/malaysia/en/professionals/stuarts-design-sdn-bhd
946 Design Sdn Bhd,"Architect,Interior Designer",Johor,946 Design Studio,"No.51, Jalan Badik 16,
                                                                                                                                                                Taman Puteri Wangsa
                                                                                                                                                                81800
                                                                                                                                                                Ulu Tiram
                                                                                                                                                                Johor, Malaysia",+60187714213,+60187896813,https://atap.co/malaysia/en/professionals/946-design-studio
NADI WORLDWIDE SDN BHD,"Architect,Interior Designer",Selangor,NADI Worldwide Sdn. Bhd.,"Lot 4-401 & 4-402, Level 4, The Starling Mall No. 6
                                                                                                                                                                Jalan SS 21/37, Damansara Utama, 47400 Petaling Jaya, Selangor
                                                                                                                                                                47400
                                                                                                                                                                Petaling Jaya
                                                                                                                                                                Selangor, Malaysia",+601116112148,+60122218230,https://atap.co/malaysia/en/professionals/whooh-by-nadi
Prestige Home Avenue Sdn Bhd,"Architect,Interior Designer",WP Kuala Lumpur,Prestige Home Avenue Sdn Bhd,"3A-09, Wisma Aman Elite
                                                                                        Jalan Desa Aman 1, Desa Aman
                                                                                        56100
                                                                                                                    WP Kuala Lumpur, Malaysia",+60128055266,,https://atap.co/malaysia/en/professionals/prestige-home-avenue-sdn-bhd
Interiorscapes Consultancy (M) Sdn Bhd,"Architect,Interior Designer",Selangor,Suite 11.01 Level 11,"South Wing Menara OBYU
                                                                                                                                                                4 Jalan PJU 8/8A, Damansara Perdana
                                                                                                                                                                47820
                                                                                                                                                                Petaling Jaya
                                                                                                                                                                Selangor, Malaysia",+60102286723,+60109830868,https://atap.co/malaysia/en/professionals/interiorscapes-consultancy-m-sdn-bhd
Stoked Associates (M) Sdn Bhd,Interior Designer,WP Kuala Lumpur,A-11-02 EkoCheras Office Suites,"No 693, Batu, 5, Jalan Cheras
                                                                                                                    56000
                                                                                        Cheras
                                                                                        WP Kuala Lumpur, Malaysia",+60197062055,,https://atap.co/malaysia/en/professionals/stoked-associates
